고객ID,평균순수익,평균수량,Accessories,Android,Apparel,Bags,Bottles,Drinkware,Gift Cards,Headgear,Housewares,Lifestyle,Nest,Nest-Canada,Nest-USA,Notebooks & Journals,Office,Waze,Clicked,Not Used,Used,성별,가입기간,총거래량,마지막거래주,일회성구매고객,거주지역
USER_0000,-55.29787,1.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,여,31,2,37,1,New York
USER_0001,177.83541084745767,5.762711864406779,0.0029411764705882353,0.0,0.6794117647058824,0.01764705882352941,0.0,0.020588235294117647,0.0,0.0058823529411764705,0.0,0.008823529411764706,0.0058823529411764705,0.0,0.09705882352941177,0.0,0.16176470588235295,0.0,0.4676470588235294,0.34705882352941175,0.18529411764705883,남,20,59,43,0,New York
USER_0002,41.93222,9.08695652173913,0.0,0.0,0.019138755980861243,0.291866028708134,0.0,0.36363636363636365,0.0,0.0,0.0,0.0430622009569378,0.0,0.0,0.023923444976076555,0.0,0.2583732057416268,0.0,0.23444976076555024,0.004784688995215311,0.7607655502392344,남,39,23,41,0,California
USER_0003,56.70874823529412,1.2352941176470589,0.0,0.0,0.5238095238095238,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.09523809523809523,0.2857142857142857,0.0,0.0,0.0,0.47619047619047616,0.19047619047619047,0.3333333333333333,남,25,17,49,1,California
USER_0004,15.87122222222222,1.5555555555555556,0.0,0.0,0.3392857142857143,0.017857142857142856,0.0,0.05357142857142857,0.0,0.0,0.0,0.08928571428571429,0.03571428571428571,0.0,0.08928571428571429,0.0,0.375,0.0,0.39285714285714285,0.25,0.35714285714285715,여,31,36,37,1,Chicago
USER_0005,26.293175,5.375,0.0,0.0,0.9767441860465116,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.5930232558139535,0.3372093023255814,0.06976744186046512,남,41,16,33,1,New York
USER_0006,59.23345533333333,6.8,0.0,0.0,0.03431372549019608,0.004901960784313725,0.0016339869281045752,0.03594771241830065,0.0,0.0,0.0,0.3022875816993464,0.0,0.004901960784313725,0.0457516339869281,0.09967320261437909,0.47058823529411764,0.0,0.7434640522875817,0.12908496732026145,0.12745098039215685,여,21,90,25,0,New York
USER_0007,21.463595714285713,1.5714285714285714,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.4090909090909091,0.0,0.5454545454545454,0.3181818181818182,0.13636363636363635,여,23,14,48,1,New York
USER_0008,105.28266368421053,5.526315789473684,0.0,0.0,0.06666666666666667,0.023809523809523808,0.0,0.002380952380952381,0.0,0.0,0.0,0.3595238095238095,0.0380952380952381,0.0,0.1,0.0,0.40714285714285714,0.002380952380952381,0.7785714285714286,0.12142857142857143,0.1,여,27,76,46,0,California
USER_0009,52.073188823529414,2.6911764705882355,0.0,0.0,0.20765027322404372,0.01639344262295082,0.0,0.01639344262295082,0.01092896174863388,0.0,0.0,0.00546448087431694,0.0,0.0,0.15300546448087432,0.04918032786885246,0.5245901639344263,0.01639344262295082,0.7377049180327869,0.060109289617486336,0.20218579234972678,남,32,68,38,0,New York
